input,output
"Ted: It's okay. It's okay, Holly. Here, have some juice, okay?","Karen: You see, Michael? You see what happens?"
"Karen: You see, Michael? You see what happens?",Mike: What happens when what? I'm the only one acting normal here! I'm the only one that cares about Will!
Mike: What happens when what? I'm the only one acting normal here! I'm the only one that cares about Will!,"Ted: That is really unfair, son. We care."
"Ted: That is really unfair, son. We care.",Karen: Mike!
Karen: Mike!,Ted: Let him go.
Ted: Let him go.,"Karen: I hope you're enjoying your chicken, Ted."
"Karen: I hope you're enjoying your chicken, Ted.",Ted: What did I do? Hey! What'd I do?
Ted: What did I do? Hey! What'd I do?,Unknown: Will!
Unknown: Will!,Unknown: Will Byers!
Unknown: Will Byers!,Unknown: Will!
Unknown: Will!,"Unknown: Will, we're here for you, bud!"
"Unknown: Will, we're here for you, bud!",Mr. Clarke: He's a good student.
Mr. Clarke: He's a good student.,Hopper: What?
Hopper: What?,"Mr. Clarke: Will. He's a good student. Great one, actually. I don't think we've met. Scott Clarke. Teacher, Hawkins Middle. Earth and biology."
"Mr. Clarke: Will. He's a good student. Great one, actually. I don't think we've met. Scott Clarke. Teacher, Hawkins Middle. Earth and biology.",Hopper: I always had a distaste for science.
Hopper: I always had a distaste for science.,"Mr. Clarke: Well, maybe you had a bad teacher."
"Mr. Clarke: Well, maybe you had a bad teacher.","Hopper: Yeah, Ms. Ratliff was a piece of work."
"Hopper: Yeah, Ms. Ratliff was a piece of work.","Mr. Clarke: Ratliff? You bet. She's still kicking around, believe it or not."
"Mr. Clarke: Ratliff? You bet. She's still kicking around, believe it or not.","Hopper: Oh, I believe it. Mummies never die, so they tell me."
"Hopper: Oh, I believe it. Mummies never die, so they tell me.","Hopper: Sarah, my daughter... Galaxies, the universe, whatnot... She always understood all that stuff. I always figured there was enough going on down here, I never needed to look elsewhere."
"Hopper: Sarah, my daughter... Galaxies, the universe, whatnot... She always understood all that stuff. I always figured there was enough going on down here, I never needed to look elsewhere.","Mr. Clarke: Your daughter, what grade is she? Maybe I'll get her in my class."
"Mr. Clarke: Your daughter, what grade is she? Maybe I'll get her in my class.","Hopper: No, she, uh... She lives with her mom in the city. Thanks for coming out, Teach. We really appreciate it."
"Hopper: No, she, uh... She lives with her mom in the city. Thanks for coming out, Teach. We really appreciate it.",Unknown: She died a few years back.
Unknown: She died a few years back.,Callahan: Sorry?
Callahan: Sorry?,Unknown: His kid.
Unknown: His kid.,"Mike: Lucas, do you copy? It's Mike. Lucas?"
"Mike: Lucas, do you copy? It's Mike. Lucas?","Lucas: Hey, it's Lucas."
"Lucas: Hey, it's Lucas.",Mike: I know it's you. And say 'over' when you're done talking so I know when you're done. Over.
Mike: I know it's you. And say 'over' when you're done talking so I know when you're done. Over.,Lucas: I'm done. Over.
Lucas: I'm done. Over.,Mike: I'm worried about Will. Over.
Mike: I'm worried about Will. Over.,Lucas: Yeah. This is crazy. Over.
Lucas: Yeah. This is crazy. Over.,"Mike: I was thinking... Will could've cast Protection last night, but he didn't. He cast Fireball. Over."
"Mike: I was thinking... Will could've cast Protection last night, but he didn't. He cast Fireball. Over.",Lucas: What's your point? Over.
Lucas: What's your point? Over.,"Mike: My point is... he could've played it safe, but he didn't. He put himself in danger to help the party. Over."
"Mike: My point is... he could've played it safe, but he didn't. He put himself in danger to help the party. Over.",Lucas: Meet me in ten. Over and out.
Lucas: Meet me in ten. Over and out.,Nancy: What are you doing here?
Nancy: What are you doing here?,"Steve: I told you on the phone, I'm under house arrest now."
"Steve: I told you on the phone, I'm under house arrest now.",Nancy: I figured we'd just study here.
Nancy: I figured we'd just study here.,Steve: No. No way.
Steve: No. No way.,"Nancy: Oh, come on. I can't have you failing this test."
"Nancy: Oh, come on. I can't have you failing this test.",Steve: So just... bear with me.
Steve: So just... bear with me.,Steve: What'd I tell you? Ninja.
Steve: What'd I tell you? Ninja.,"Ben: You like that ice cream, huh? Smile looks good on you. You know, smile?"
"Ben: You like that ice cream, huh? Smile looks good on you. You know, smile?","Ben: All right. You just sit tight. Whoever it is, I'll tell 'em to go away real quick, all right?"
"Ben: All right. You just sit tight. Whoever it is, I'll tell 'em to go away real quick, all right?","Ben: Hey, can I help you?"
"Ben: Hey, can I help you?","Connie: Hi, you must be Benny Hammond."
"Connie: Hi, you must be Benny Hammond.","Ben: I'm afraid I am. I'm afraid we're closed for the evening, too. So try back tomorrow morning."
"Ben: I'm afraid I am. I'm afraid we're closed for the evening, too. So try back tomorrow morning.",Connie: Connie Frazier. Social Services.
Connie: Connie Frazier. Social Services.,"Ben: Ah, Social Services. My apologies. I didn't expect you so soon. That's a heck of a drive."
"Ben: Ah, Social Services. My apologies. I didn't expect you so soon. That's a heck of a drive.",Connie: Not too bad this time of night.
Connie: Not too bad this time of night.,"Ben: Hey, listen, I... I haven't told her that you're coming yet. I didn't want her running off again. She's a tad skittish."
"Ben: Hey, listen, I... I haven't told her that you're coming yet. I didn't want her running off again. She's a tad skittish.",Connie: Children I work with usually are.
Connie: Children I work with usually are.,"Ben: Right, right. So, where is she? Right. She's in the kitchen. Come on up. I'll introduce you."
"Ben: Right, right. So, where is she? Right. She's in the kitchen. Come on up. I'll introduce you.",Connie: Thank you.
Connie: Thank you.,Ben: Sorry again for trying to turn you away there.
Ben: Sorry again for trying to turn you away there.,Connie: It's fine.
Connie: It's fine.,"Ben: You know, it's funny. Your, uh, voice sounds different on the..."
"Ben: You know, it's funny. Your, uh, voice sounds different on the...","Lucas: Ah, man. This is it."
"Lucas: Ah, man. This is it.","Mike: Hey, guys. You feel that?"
"Mike: Hey, guys. You feel that?",Dustin: I think maybe we should go back.
Dustin: I think maybe we should go back.,Mike: No. We're not going back. Just stay close. Come on. Just stay on channel six. Don't do anything stupid.
Mike: No. We're not going back. Just stay close. Come on. Just stay on channel six. Don't do anything stupid.,"Dustin: Hey, guys, wait up. Wait up!"
"Dustin: Hey, guys, wait up. Wait up!",Steve: Which polymers occur naturally?
Steve: Which polymers occur naturally?,Nancy: Starch and cellulose.
Nancy: Starch and cellulose.,Steve: Mmm.
Steve: Mmm.,"Steve: In a molecule of CH4, the hydrogen atoms are spatially oriented towards the centers of..."
"Steve: In a molecule of CH4, the hydrogen atoms are spatially oriented towards the centers of...",Nancy: Tetrahedrons.
Nancy: Tetrahedrons.,"Steve: Wow. Jesus, how many of these did you make?"
"Steve: Wow. Jesus, how many of these did you make?",Nancy: You said you wanted to help.
Nancy: You said you wanted to help.,"Steve: How about this? How about... How about every time that you get something right, I have to take off an item of clothing. But every time that you get something wrong..."
"Steve: How about this? How about... How about every time that you get something right, I have to take off an item of clothing. But every time that you get something wrong...","Nancy: Uh, pass."
"Nancy: Uh, pass.","Steve: Oh, come on. Come on. Come on. It'll be fun."
"Steve: Oh, come on. Come on. Come on. It'll be fun.",Nancy: No. No.
Nancy: No. No.,"Steve: During fractional distillation, hydrocarbons are separated according to their..."
"Steve: During fractional distillation, hydrocarbons are separated according to their...",Nancy: Melting point.
Nancy: Melting point.,"Steve: Ooh, it's boiling points."
"Steve: Ooh, it's boiling points.",Nancy: That's what I meant.
Nancy: That's what I meant.,"Steve: Yeah, that's not what you said."
"Steve: Yeah, that's not what you said.",Nancy: No.
Nancy: No.,"Steve: No? Oh, do you need... Do you need help, or..."
"Steve: No? Oh, do you need... Do you need help, or...",Nancy: No.
Nancy: No.,"Nancy: Steve. Steve, come on."
"Nancy: Steve. Steve, come on.",Steve: What?
Steve: What?,Nancy: Are you crazy? My parents are here.
Nancy: Are you crazy? My parents are here.,"Steve: That's weird, I... don't see them."
"Steve: That's weird, I... don't see them.",Nancy: Was this your plan all along? To... to get in my room and then... get another notch on your belt.
Nancy: Was this your plan all along? To... to get in my room and then... get another notch on your belt.,"Steve: No. Nancy, no."
"Steve: No. Nancy, no.","Nancy: I'm not Laurie, or Amy, or Becky."
"Nancy: I'm not Laurie, or Amy, or Becky.","Steve: You mean, you're not a slut."
"Steve: You mean, you're not a slut.",Nancy: That's not what I'm saying.
Nancy: That's not what I'm saying.,"Steve: You know, you're so cute when you lie."
"Steve: You know, you're so cute when you lie.",Nancy: Shut up.
Nancy: Shut up.,Steve: Bad Steve. Bad. Don't do that to Miss Nancy...
Steve: Bad Steve. Bad. Don't do that to Miss Nancy...,"Nancy: You're an idiot, Steve Harrington."
"Nancy: You're an idiot, Steve Harrington.","Steve: You are beautiful, Nancy Wheeler."
"Steve: You are beautiful, Nancy Wheeler.","Steve: Compared to the rate of inorganic reactions, the rate of organic reactions is generally..."
"Steve: Compared to the rate of inorganic reactions, the rate of organic reactions is generally...","Joyce: Jonathan, wow. You took these? These are great. Wow, they really are."
"Joyce: Jonathan, wow. You took these? These are great. Wow, they really are.",Joyce: I know I haven't been there for you. I've been... working so hard and I... I just feel bad. I don't even... barely know what's going on with you. All right? I am sorry about that.
Joyce: I know I haven't been there for you. I've been... working so hard and I... I just feel bad. I don't even... barely know what's going on with you. All right? I am sorry about that.,"Joyce: Hey, what is it? What is it, honey?"
"Joyce: Hey, what is it? What is it, honey?",Jonathan: Nothing. Tell me. Tell me.
Jonathan: Nothing. Tell me. Tell me.,Joyce: Come on. You can...
Joyce: Come on. You can...,Jonathan: No. It's just... I should've been there for him.
Jonathan: No. It's just... I should've been there for him.,"Joyce: No. Oh, no. You can't do that to yourself. This was not your fault. Do you hear me? He is... close. I know it. I feel it in my heart. You just have to... You have to trust me on this, okay?"
"Joyce: No. Oh, no. You can't do that to yourself. This was not your fault. Do you hear me? He is... close. I know it. I feel it in my heart. You just have to... You have to trust me on this, okay?",Jonathan: Yeah.
Jonathan: Yeah.,"Joyce: Oh, look at this. Look at this one. Look at this one. I mean, that's it, right?"
"Joyce: Oh, look at this. Look at this one. Look at this one. I mean, that's it, right?",Jonathan: Yeah.
Jonathan: Yeah.,Joyce: That's it. That's the one.
Joyce: That's it. That's the one.,Joyce: Hello? Hello? Lonnie? Dad? Hopper? Who is this?
Joyce: Hello? Hello? Lonnie? Dad? Hopper? Who is this?,Joyce: Will? Will? Who is this? What have you done to my boy? Give me back my son!
Joyce: Will? Will? Who is this? What have you done to my boy? Give me back my son!,"Jonathan: Hello? Hello, who is this? Hello? Who is this?"
"Jonathan: Hello? Hello, who is this? Hello? Who is this?",Joyce: It was him.
Joyce: It was him.,"Jonathan: Mom, who was it? Who was it, Mom? Look at me, Mom. Was it Will?"
"Jonathan: Mom, who was it? Who was it, Mom? Look at me, Mom. Was it Will?",Joyce: Yes.
Joyce: Yes.,Jonathan: What did he say?
Jonathan: What did he say?,Joyce: He just breathed. He just breathed.
Joyce: He just breathed. He just breathed.,Jonathan: And was someone else there?
Jonathan: And was someone else there?,Joyce: I... It was him. I know it was his breathing. I know it was his breathing.
Joyce: I... It was him. I know it was his breathing. I know it was his breathing.,Mike: Will! Will!
Mike: Will! Will!,Lucas: Byers!
Lucas: Byers!,Dustin: I've got your X-Men 134!
Dustin: I've got your X-Men 134!,"Dustin: Guys, I really think we should turn back."
"Dustin: Guys, I really think we should turn back.","Lucas: Seriously, Dustin? You wanna be a baby, then go home already!"
"Lucas: Seriously, Dustin? You wanna be a baby, then go home already!","Dustin: I'm just being realistic, Lucas!"
"Dustin: I'm just being realistic, Lucas!","Lucas: No, you're just being a big sissy!"
"Lucas: No, you're just being a big sissy!",Dustin: Did you ever think Will went missing because he ran into something bad? And we're going to the exact same spot where he was last seen? And we have no weapons or anything?
Dustin: Did you ever think Will went missing because he ran into something bad? And we're going to the exact same spot where he was last seen? And we have no weapons or anything?,"Mike: Dustin, shut up."
"Mike: Dustin, shut up.","Dustin: I'm just saying, does that seem smart to you?"
"Dustin: I'm just saying, does that seem smart to you?",Mike: Shut up. Shut up.
Mike: Shut up. Shut up.,Mike: Did you guys hear that?
Mike: Did you guys hear that?,Unknown: We're going down! We're going down!
Unknown: We're going down! We're going down!,"Steve: Yeah, no shit, Harrington! Why don't these buttons work?! What do you think I'm doing?! Oh! My groin. It fell on my groin. I can't move."
"Steve: Yeah, no shit, Harrington! Why don't these buttons work?! What do you think I'm doing?! Oh! My groin. It fell on my groin. I can't move.",Erica: Press the button! Push it!
Erica: Press the button! Push it!,"Dustin: Come on, press something! Just press the button! Is everyone okay? Hey. What if we climbed out? What were you saying about climbing?"
"Dustin: Come on, press something! Just press the button! Is everyone okay? Hey. What if we climbed out? What were you saying about climbing?","Robin: Yeah, I'm great, now that I know that Russians can't design elevators! I think we've clearly established that those buttons don't work. Yeah, if we had a keycard. It's an electronic lock. Same as the loading dock door. If we don't have a keycard, it won't operate, meaning..."
"Robin: Yeah, I'm great, now that I know that Russians can't design elevators! I think we've clearly established that those buttons don't work. Yeah, if we had a keycard. It's an electronic lock. Same as the loading dock door. If we don't have a keycard, it won't operate, meaning...",Dustin: We're stuck in here.
Dustin: We're stuck in here.,Robin: Yeah.
Robin: Yeah.,"Erica: Just so you nerds are aware, I'm supposed to be spending the night at Tina's, and Tina always covers for me. But if I'm not home for Uncle Jack's party tomorrow and my mom finds out you three are responsible, she's gonna hunt you down, one by one, and slit your throat."
"Erica: Just so you nerds are aware, I'm supposed to be spending the night at Tina's, and Tina always covers for me. But if I'm not home for Uncle Jack's party tomorrow and my mom finds out you three are responsible, she's gonna hunt you down, one by one, and slit your throat.",Steve: I don't care about Tina! Or Uncle Jack's party! Your mom's not gonna be able to find us if we're dead in a Russian elevator!
Steve: I don't care about Tina! Or Uncle Jack's party! Your mom's not gonna be able to find us if we're dead in a Russian elevator!,Unknown: Looks like somebody's home. Did you hear that?
Unknown: Looks like somebody's home. Did you hear that?,"Hopper: Where's that coming from? It's below us. Hey, dipshits! Hawkins PD. Hands in the air. Don't make me say it again! English. You speak English? I can't understand you! No understand! Hopper! Don't move! Drop the gun. Drop it! You understand what I'm saying, big guy? Drop the weapon. So you do understand what I'm saying, huh? And, yeah, you don't put that thing away, I'm gonna blow some daylight into that thick skull of yours. Wanna test that theory? I'm gonna count to three. One, two, three! Go! Move, Joyce! Come on, Smirnoff. You're coming with us! Go, go, go! Let's go! Let's go! Move it, Smirnoff! Move it! Run! Get us outta here! Oh, God! Son of a bitch. Son of a bitch! Okay, a magnet? Magnets? Do you know 'magnet'? Magnet? Okay, so, uh, magnit... on my... my fridge, my icebox, and then they... they fell. They demagnetized, stopped working. Uh, do you understand? Okay, so is that because of the machines that you're working on? Machina, machina, yes. You're givin' me a headache, both of you! Hold on, please. One minute. Yeah, what? Keep it in park, please. You do... do something useful. Damn it. Still think it was our government?"
"Hopper: Where's that coming from? It's below us. Hey, dipshits! Hawkins PD. Hands in the air. Don't make me say it again! English. You speak English? I can't understand you! No understand! Hopper! Don't move! Drop the gun. Drop it! You understand what I'm saying, big guy? Drop the weapon. So you do understand what I'm saying, huh? And, yeah, you don't put that thing away, I'm gonna blow some daylight into that thick skull of yours. Wanna test that theory? I'm gonna count to three. One, two, three! Go! Move, Joyce! Come on, Smirnoff. You're coming with us! Go, go, go! Let's go! Let's go! Move it, Smirnoff! Move it! Run! Get us outta here! Oh, God! Son of a bitch. Son of a bitch! Okay, a magnet? Magnets? Do you know 'magnet'? Magnet? Okay, so, uh, magnit... on my... my fridge, my icebox, and then they... they fell. They demagnetized, stopped working. Uh, do you understand? Okay, so is that because of the machines that you're working on? Machina, machina, yes. You're givin' me a headache, both of you! Hold on, please. One minute. Yeah, what? Keep it in park, please. You do... do something useful. Damn it. Still think it was our government?","Alexei: Magnit. Da. Da, da, machina."
"Alexei: Magnit. Da. Da, da, machina.","Joyce: Joyce! Drive! Come on, Joyce! Quit screwin' around! Are you kidding me? I'm trying! Joyce, please, drive! Drive! Hang on! I am making progress. Progress. Thought we knew. But now we know-know, because I've confirmed them. You're welcome. Yeah, duh! I thought this friend of yours lived in Illinois. So we're walking to Illinois? Isn't there someone in Indiana who speaks Russian that... I mean, fine. Just saying."
"Joyce: Joyce! Drive! Come on, Joyce! Quit screwin' around! Are you kidding me? I'm trying! Joyce, please, drive! Drive! Hang on! I am making progress. Progress. Thought we knew. But now we know-know, because I've confirmed them. You're welcome. Yeah, duh! I thought this friend of yours lived in Illinois. So we're walking to Illinois? Isn't there someone in Indiana who speaks Russian that... I mean, fine. Just saying.","Hopper: Machina, machina! Yes, machina... Vroom, vroom. Oh, not... not the car. The machines at Hess Farm where... where we kidnapped you... Yeah? Why don't you confirm whether this baby'll start, huh? Shut up, Smirnoff! I said shut your damn... Whoa! He's not really a friend. He's more like an acquaintance. Yeah, yeah. Yeah, yeah, we're gonna walk to Illinois. You know, I figure we'll get there by, like, Friday evening. I hope that works for your schedule. Jesus Christ, Joyce. We're not walking to Illinois, okay? I don't know, okay? I will... I will figure something out. You know what? I'm all ears, Joyce. I'm all ears. I'm all ears!"
"Hopper: Machina, machina! Yes, machina... Vroom, vroom. Oh, not... not the car. The machines at Hess Farm where... where we kidnapped you... Yeah? Why don't you confirm whether this baby'll start, huh? Shut up, Smirnoff! I said shut your damn... Whoa! He's not really a friend. He's more like an acquaintance. Yeah, yeah. Yeah, yeah, we're gonna walk to Illinois. You know, I figure we'll get there by, like, Friday evening. I hope that works for your schedule. Jesus Christ, Joyce. We're not walking to Illinois, okay? I don't know, okay? I will... I will figure something out. You know what? I'm all ears, Joyce. I'm all ears. I'm all ears!","Jonathan: Do you realize what time it is? It's 6:00 a.m. and, uh, I had a late night with Fagin and the gang, so... What? Nancy, please tell me you're joking. Uh... He's not even here. Where is he? Why wouldn't he be safe?"
"Jonathan: Do you realize what time it is? It's 6:00 a.m. and, uh, I had a late night with Fagin and the gang, so... What? Nancy, please tell me you're joking. Uh... He's not even here. Where is he? Why wouldn't he be safe?","Nancy: Listen to me, okay? It's not a joke. And, yes, I know I'm insane and irrational and out of touch, but can you save your lecture, because I really don't give a shit right now. I just... I need you to put me on the phone with your brother. Jonathan... Please. Nancy? Why wouldn't he be safe? I'm at the hospital with Driscoll. She's been sedated for a few hours and the doctors are still running tests."
"Nancy: Listen to me, okay? It's not a joke. And, yes, I know I'm insane and irrational and out of touch, but can you save your lecture, because I really don't give a shit right now. I just... I need you to put me on the phone with your brother. Jonathan... Please. Nancy? Why wouldn't he be safe? I'm at the hospital with Driscoll. She's been sedated for a few hours and the doctors are still running tests.","Max: Where is he? My... My mom? What are they doing? Does it still hurt? Well, it's a good thing you're not Mike, then. 'Blah, blah, blah, blah, blah.' And you'd be in constant pain."
"Max: Where is he? My... My mom? What are they doing? Does it still hurt? Well, it's a good thing you're not Mike, then. 'Blah, blah, blah, blah, blah.' And you'd be in constant pain.","Mike: Not now, Mom! Illinois? Illinois, like the state? The state of Illinois? Something's not right. I can't get Hopper off my back all summer, now all of a sudden, he's hiking with Will's mom to Illinois? And Dustin's MIA, too? I mean, this can't be a coincidence. The bottom line is, they're not here. It's up to us."
"Mike: Not now, Mom! Illinois? Illinois, like the state? The state of Illinois? Something's not right. I can't get Hopper off my back all summer, now all of a sudden, he's hiking with Will's mom to Illinois? And Dustin's MIA, too? I mean, this can't be a coincidence. The bottom line is, they're not here. It's up to us.",Max: Woods? They're going to Ill-annoy. Only when I talk. What does it matter? Up to us to do what exactly?
Max: Woods? They're going to Ill-annoy. Only when I talk. What does it matter? Up to us to do what exactly?,Mike: Find Billy and stop him.
Mike: Find Billy and stop him.,"Max: Okay, yeah, that's a really nice sentiment, but even if El could find him again, and that's a pretty big if, then what?"
"Max: Okay, yeah, that's a really nice sentiment, but even if El could find him again, and that's a pretty big if, then what?",Mike: We burn the shit out of him and make sure he doesn't escape this time.
Mike: We burn the shit out of him and make sure he doesn't escape this time.,"Max: Okay, then what?"
"Max: Okay, then what?",Mike: Then we win.
Mike: Then we win.,"Max: No, see, that's the problem. We don't. We don't win. We got the Mind Flayer out of Will before and he just came right back. We don't just have to stop Billy, we have to stop the Mind Flayer."
"Max: No, see, that's the problem. We don't. We don't win. We got the Mind Flayer out of Will before and he just came right back. We don't just have to stop Billy, we have to stop the Mind Flayer.",Mike: How in the hell do we do that?
Mike: How in the hell do we do that?,Max: I don't know. Maybe El does.
Max: I don't know. Maybe El does.,Mike: What are they still doing in there?
Mike: What are they still doing in there?,Lucas: I don't know. Girls just like hanging out in bathrooms.
Lucas: I don't know. Girls just like hanging out in bathrooms.,Mike: Why?
Mike: Why?,"Lucas: I mean, I don't know."
"Lucas: I mean, I don't know.",Mike: They're conspiring against me.
Mike: They're conspiring against me.,Lucas: That's what you're concerned about now?
Lucas: That's what you're concerned about now?,Mike: It's not my main concern. It's just a sub-concern.
Mike: It's not my main concern. It's just a sub-concern.,Lucas: I thought it was already over.
Lucas: I thought it was already over.,"Mike: It's not over, okay? We're just taking a break."
"Mike: It's not over, okay? We're just taking a break.",Lucas: She said she dumped your ass. That doesn't sound like a break.
Lucas: She said she dumped your ass. That doesn't sound like a break.,"Max: It wasn't! You guys do realize we can still hear everything you're saying, right?"
"Max: It wasn't! You guys do realize we can still hear everything you're saying, right?","Mike: Conspiring. I told you, they're conspiring. Not now, Mom!"
"Mike: Conspiring. I told you, they're conspiring. Not now, Mom!","Nancy: Mike, open the door."
"Nancy: Mike, open the door.","Dustin: Code red, I repeat, code red. Does anyone copy? This is a code red, I repeat, a code red. This is a code red, I repeat, a code red. Does anyone copy? We are innocent children and we are trapped under Starcourt Mall. The Red Army has infiltrated Hawkins, and if we are found, they will torture and kill us."
"Dustin: Code red, I repeat, code red. Does anyone copy? This is a code red, I repeat, a code red. This is a code red, I repeat, a code red. Does anyone copy? We are innocent children and we are trapped under Starcourt Mall. The Red Army has infiltrated Hawkins, and if we are found, they will torture and kill us.",Steve: Hey. Gotta take it easy on that thing. Gonna drain the battery.
Steve: Hey. Gotta take it easy on that thing. Gonna drain the battery.,Dustin: The mall just opened. So someone could be in range.
Dustin: The mall just opened. So someone could be in range.,"Steve: What do you think, Petey the Mall Cop is gonna rappel down here and save the day? All right, why are you such a cranky pants after getting to spend the night with Robin?"
"Steve: What do you think, Petey the Mall Cop is gonna rappel down here and save the day? All right, why are you such a cranky pants after getting to spend the night with Robin?",Dustin: Shh! Jesus Christ.
Dustin: Shh! Jesus Christ.,Steve: Will you just give up on your creepy dream already?
Steve: Will you just give up on your creepy dream already?,Dustin: I heard you guys talking all night.
Dustin: I heard you guys talking all night.,"Steve: We were trying to figure out a way to open up the door while you children were sleeping. After eight hours, we're still exactly nowhere, which is, you know, probably just a little bit of the reason why I'm feeling just... a tad cranky."
"Steve: We were trying to figure out a way to open up the door while you children were sleeping. After eight hours, we're still exactly nowhere, which is, you know, probably just a little bit of the reason why I'm feeling just... a tad cranky.",Dustin: What are you doing?
Dustin: What are you doing?,Steve: What does it look like I'm doing? I'm taking a leak. Look away. Look away!
Steve: What does it look like I'm doing? I'm taking a leak. Look away. Look away!,"Robin: Can you redirect your stream, please?"
"Robin: Can you redirect your stream, please?","Steve: Hey, hey! Be careful, careful, careful! We don't even know what that is."
"Steve: Hey, hey! Be careful, careful, careful! We don't even know what that is.",Robin: Exactly. It could be useful.
Robin: Exactly. It could be useful.,Steve: Useful how?
Steve: Useful how?,"Robin: We can survive down here a long time without food, but if the human body doesn't get water, it will die."
"Robin: We can survive down here a long time without food, but if the human body doesn't get water, it will die.","Steve: I hate to break it to you, but this is not water."
"Steve: I hate to break it to you, but this is not water.","Robin: No, but it's a liquid, and if it comes down to me drinking that shit or dying of thirst, I drink."
"Robin: No, but it's a liquid, and if it comes down to me drinking that shit or dying of thirst, I drink.",Dustin: We've got company.
Dustin: We've got company.,"Steve: Let's go. Go. Go, go, go, go, go. Henderson. Go, go."
"Steve: Let's go. Go. Go, go, go, go, go. Henderson. Go, go.",Erica: I'm going!
Erica: I'm going!,"Robin: Come on, Steve, let's go!"
"Robin: Come on, Steve, let's go!",Steve: Jesus Christ.
Steve: Jesus Christ.,Erica: Ooh!
Erica: Ooh!,Robin: You still wanna drink that?
Robin: You still wanna drink that?,Dustin: Holy mother of God.
Dustin: Holy mother of God.,"Steve: Well... hope you guys are in good shape. Looking at you, roast beef. Let's go, come on."
"Steve: Well... hope you guys are in good shape. Looking at you, roast beef. Let's go, come on.",Dustin: Why me?
Dustin: Why me?,"Nancy: It was the same thing, the exact same thing that happened to Will last year. And look at this. Look at the body temperatures."
"Nancy: It was the same thing, the exact same thing that happened to Will last year. And look at this. Look at the body temperatures.",Will: He likes it cold.
Will: He likes it cold.,"Mike: Okay, so this crazy old woman who was eating fertilizer..."
"Mike: Okay, so this crazy old woman who was eating fertilizer...",Nancy: Mrs. Driscoll. Last night. Around 9:00.
Nancy: Mrs. Driscoll. Last night. Around 9:00.,"Mike: Right, yeah, Mrs. Driscoll. What time was this attack?"
"Mike: Right, yeah, Mrs. Driscoll. What time was this attack?",Jonathan: You waited all night to call?
Jonathan: You waited all night to call?,Nancy: I was waiting for the doctors to run some tests.
Nancy: I was waiting for the doctors to run some tests.,"Will: Well, I'm here now, aren't I?"
"Will: Well, I'm here now, aren't I?","Nancy: Hallelujah! Um, so, wha... what time was your... sauna test?"
"Nancy: Hallelujah! Um, so, wha... what time was your... sauna test?",Mike and Will: Around 9:00.
Mike and Will: Around 9:00.,"Nancy: Well, that proves it. That proves my theory. She's flayed, just like Billy."
"Nancy: Well, that proves it. That proves my theory. She's flayed, just like Billy.",Jonathan: Flayed?
Jonathan: Flayed?,"Nancy: The Mind Flayer. He flays people. Takes over their mind. Once they do that, they basically become him."
"Nancy: The Mind Flayer. He flays people. Takes over their mind. Once they do that, they basically become him.",Will: If there are two flayed...
Will: If there are two flayed...,Nancy: We have to assume there are more.
Nancy: We have to assume there are more.,Eleven: Heather. Billy was doing something to her. She was scared. She was screaming. Bad screams.
Eleven: Heather. Billy was doing something to her. She was scared. She was screaming. Bad screams.,Lucas: What's a good scream?
Lucas: What's a good scream?,Eleven: Max said... Doesn't matter.
Eleven: Max said... Doesn't matter.,"Jonathan: I'm sorry, I'm lost. Who is Heather?"
"Jonathan: I'm sorry, I'm lost. Who is Heather?",Nancy: She's a lifeguard at the pool.
Nancy: She's a lifeguard at the pool.,Mike: Heather Holloway?
Mike: Heather Holloway?,Nancy and Jonathan: Tom.
Nancy and Jonathan: Tom.,Mike: Seriously? Seat belts.
Mike: Seriously? Seat belts.,"Hopper: Oh, my God. Can you not walk so close? I get it, I get it. You're upset, right? 'Cause I, uh... I blew up the car? Well, I just want to remind you of something, Joyce. I am not a mechanic."
"Hopper: Oh, my God. Can you not walk so close? I get it, I get it. You're upset, right? 'Cause I, uh... I blew up the car? Well, I just want to remind you of something, Joyce. I am not a mechanic.","Joyce: Can you not walk so close to me? You stink. Yeah, with me in it. Yeah, clearly. That's why you should've listened to Alexei."
"Joyce: Can you not walk so close to me? You stink. Yeah, with me in it. Yeah, clearly. That's why you should've listened to Alexei.","Hopper: Yeah, duh! Oh, right, yeah. Your new boyfriend, right? Oh, here we go."
"Hopper: Yeah, duh! Oh, right, yeah. Your new boyfriend, right? Oh, here we go.","Joyce: Yes. Every man I talk to from now on has to be my boyfriend. Yeah, he reminds me a bit of a Russian Scott Clarke. Maybe you should go on a date. I don't know, I'm think..."
"Joyce: Yes. Every man I talk to from now on has to be my boyfriend. Yeah, he reminds me a bit of a Russian Scott Clarke. Maybe you should go on a date. I don't know, I'm think...","Todd: ...this guy comes up to me, I'm just pumping gas over here, and he... Hey, whoa! Don't cross me right now!"
"Todd: ...this guy comes up to me, I'm just pumping gas over here, and he... Hey, whoa! Don't cross me right now!",Unknown: Busy day?
Unknown: Busy day?,Todd: You could say that. Some psycho stole that dude's car.
Todd: You could say that. Some psycho stole that dude's car.,Unknown: What else? What else did he say? This psycho?
Unknown: What else? What else did he say? This psycho?,"Todd: No offense, but I already went over all this with the cops."
"Todd: No offense, but I already went over all this with the cops.",Unknown: I'm not a cop.
Unknown: I'm not a cop.,"Todd: Yeah, no shit, Khrushchev."
